original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,,1,1,54.7023545,-3.2765753,United Kingdom,,,,,,,,,,,,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Aldgate,London EC3N 1LP",2,1,51.5132659,-0.0769275,"Nationwide, 1 Aldgate, City of London, EC3N 1RE, United Kingdom",Nationwide,1,Aldgate,EC3N 1RE,,Aldgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Angel Court,London,EC2R 7AE",3,1,51.515335300000004,-0.087332661586598,"1 Angel Court, City of London, EC2R 7HJ, United Kingdom",,1,Angel Court,EC2R 7HJ,,Cornhill,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Angel Lane,London,EC4R 3AB",4,1,51.5091099,-0.0897444,"The Oyster Shed, 1 Angel Lane, City of London, EC4R 3AB, United Kingdom",The Oyster Shed,1,Angel Lane,EC4R 3AB,,Vintry,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Appold St.,London EC2A 2UU",5,1,51.519792800000005,-0.08221979654913436,"Deutsche Bank, 1 Appold Street, City of London, EC2A 2UT, United Kingdom",Deutsche Bank,1,Appold Street,EC2A 2UT,London Borough of Hackney,Broadgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Appold St.,London,EC2A 2UU",6,1,51.519792800000005,-0.08221979654913436,"Deutsche Bank, 1 Appold Street, City of London, EC2A 2UT, United Kingdom",Deutsche Bank,1,Appold Street,EC2A 2UT,London Borough of Hackney,Broadgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Ariel Way,Heathrow Causeway,Great South West Rd.,Hounslow,Middlesex,TW4 6JS",7,1,51.4710213,-0.4078536,"Ariel Way, London, TW4 6FD, United Kingdom",Ariel Way,,Ariel Way,TW4 6FD,London Borough of Hounslow,Cranford,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Berkeley St.,London W1J 8DJ",8,1,51.50747,-0.14205,"London, W1J 8DJ, United Kingdom",,,,W1J 8DJ,,,City of Westminster,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Berkeley St.,London,W1J 8DJ",9,1,51.50747,-0.14205,"London, W1J 8DJ, United Kingdom",,,,W1J 8DJ,,,City of Westminster,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Broad Plain,Bristol BS2 0JP",10,1,51.4541447,-2.5822771,"Cookpad, 1-2 Broad Plain, Bristol, BS2 0JP, United Kingdom",Cookpad,1-2,Broad Plain,BS2 0JP,Old Market,Redcliffe,Bristol,City of Bristol,BST,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"1 Bruntcliffe Ave.,Morley,LS27 0LL",11,1,53.7485823,-1.6168571,"Bruntcliffe Avenue, Leeds, LS27 0TG, United Kingdom",Bruntcliffe Avenue,,Bruntcliffe Avenue,LS27 0TG,,Leeds 27,Leeds,West Yorkshire,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
