original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
United Kingdom,"2 Long Tens Way Heigbington Lone Businness Park,Newton Aycliffe,Co.Durham DL5 6AP",478,2,54.618436,-1.570932,"Newton Aycliffe, Great Aycliffe, ENG, United Kingdom",Newton Aycliffe,,,,Great Aycliffe,Newton Aycliffe,Great Aycliffe,Durham,DUR,England,ENG,United Kingdom,gb,0.05357142857142857,,0.21428571428571427,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"2 Longwalk Rd.,Stockley Park,Uxbridge UB11 1BA",479,2,51.5103862,-0.4477760285031136,"Suntory, 2 Longwalk Road, London, UB11 1BA, United Kingdom",Suntory,2,Longwalk Road,UB11 1BA,London Borough of Hillingdon,West Drayton,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Longwalk Rd.,Stockley Park,Uxbridge,Middlesex UB11 1AB",480,2,51.5103862,-0.4477760285031136,"Suntory, 2 Longwalk Road, London, UB11 1BA, United Kingdom",Suntory,2,Longwalk Road,UB11 1BA,London Borough of Hillingdon,West Drayton,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Longwalk Rd.,Stockley Park,Uxbridge,Middlesex,UB11 1AB",481,2,51.5103862,-0.4477760285031136,"Suntory, 2 Longwalk Road, London, UB11 1BA, United Kingdom",Suntory,2,Longwalk Road,UB11 1BA,London Borough of Hillingdon,West Drayton,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Longwalk Rd.,Stockly Park,Uxbridge,Middlesex UB11 1AB",482,2,51.5103862,-0.4477760285031136,"Suntory, 2 Longwalk Road, London, UB11 1BA, United Kingdom",Suntory,2,Longwalk Road,UB11 1BA,London Borough of Hillingdon,West Drayton,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Longwalk Rd.Hayes Park,Uxbridge Middlesex,UB11 1AB",483,2,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"2 Longwalk Rd.Stockley Park,Uxbridge,Middlesex UB11 1AB",484,2,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"2 Maidenbower Office Park,Balcombe Rd.,Crawley,West Sussex RH10 7NN",485,2,51.1079915,-0.1445104,"Balcombe Road, Crawley, RH10 7NN, United Kingdom",Balcombe Road,,Balcombe Road,RH10 7NN,,Worth,Crawley,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Milnyard Sq.Bakewell Rd.,Orton Southgate,Peterborough,PE2 6GX",486,2,52.574937,-0.260373,"2 Marchment Square, Peterborough, PE2 6GX, United Kingdom",,2,Marchment Square,PE2 6GX,,,Peterborough,Cambridgeshire,CAM,England,ENG,United Kingdom,gb,0.225,0.25,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Minster Court,London,EC3R 7BB",487,2,51.510665,-0.080721,"2 Minster Court, London, EC3R 7BB, United Kingdom",,2,Minster Court,EC3R 7BB,City of London,Fenchurch,London,London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Minster Court,Mincing Lane,London,EC3R 7BB",488,2,51.51080105,-0.0805439,"City of London, EC3R 7BB, United Kingdom",,,,EC3R 7BB,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Pomeroy Dr.Oadby Ind.Estate,Oadby,Leicester LE2 5NE",489,2,52.59835445,-1.0898538,"Oadby and Wigston, LE2 5NE, United Kingdom",,,,LE2 5NE,,,Oadby and Wigston,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Pomeroy Dr.Oadby Industrial Estate,Oadby,Leicester LE2 5NE",490,2,52.59835445,-1.0898538,"Oadby and Wigston, LE2 5NE, United Kingdom",,,,LE2 5NE,,,Oadby and Wigston,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Presley Way Crownhill,Milton Keynes Buckinghamshire MK8 0ES",491,2,52.0280301,-0.7987851,"Presley Way, Milton Keynes, MK8 0ES, United Kingdom",Presley Way,,Presley Way,MK8 0ES,,Shenley Church End,Milton Keynes,City of Milton Keynes,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Presley Way Crownhill,Milton Keynes Buckinghamshire,MK8 0ES",492,2,52.0280301,-0.7987851,"Presley Way, Milton Keynes, MK8 0ES, United Kingdom",Presley Way,,Presley Way,MK8 0ES,,Shenley Church End,Milton Keynes,City of Milton Keynes,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Queen Caroline St.,London W6 9DX",493,2,51.4926518,-0.2249213,"Queen Caroline Street, London, W6 9DX, United Kingdom",Queen Caroline Street,,Queen Caroline Street,W6 9DX,London Borough of Hammersmith and Fulham,Brook Green,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Queen's Garden,Aberdeen,AB15 4YD,Scotland",494,2,57.14322,-2.1277319400383727,"Skene Business Centres, 2 Queen's Gardens, Aberdeen City, AB15 4YD, United Kingdom",Skene Business Centres,2,Queen's Gardens,AB15 4YD,,West End,Aberdeen City,,,Scotland,SCT,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,East Kilbride,Scotland G74 5PF",495,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.567,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,East Kilbridge,Scotland G74 5PF",496,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.5103000000000001,0.81,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Redwood Ave.,Peel Park Compus,East Kilbride,Scotland G74 5PF",497,2,55.7684915,-4.226507,"CUK Audio, 2 Redwood Crescent, East Kilbride, G74 5PA, United Kingdom",CUK Audio,2,Redwood Crescent,G74 5PA,,Peel Park,East Kilbride,South Lanarkshire,SLK,Scotland,SCT,United Kingdom,gb,0.567,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Royal Exchange,London EC3V 3DG",498,2,51.51348,-0.0877,"City of London, EC3V 3DG, United Kingdom",,,,EC3V 3DG,,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Ventura Centre Upton Industrial Estate Poole,Dorset,BH16 5SW",499,2,51.037081,-2.273362,"2 The Centre, Gillingham, SP8 4AB, United Kingdom",,2,The Centre,SP8 4AB,Gillingham Civil Parish,Lodbourne,Gillingham,Dorset,DOR,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2 Ventura Centre Upton Industrial Estate Poole,Dorset,BH165SW",500,2,51.037081,-2.273362,"2 The Centre, Gillingham, SP8 4AB, United Kingdom",,2,The Centre,SP8 4AB,Gillingham Civil Parish,Lodbourne,Gillingham,Dorset,DOR,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London W1",501,2,51.51409245,-0.14711243208468966,"2-3 Woodstock Street, London, W1S 1LE, United Kingdom",,2-3,Woodstock Street,W1S 1LE,,Mayfair,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London W1G 0PL",502,2,51.5164,-0.14601,"London, W1G 0PL, United Kingdom",,,,W1G 0PL,,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"2-3 Woodstock St.,London,W1G 0PL",503,2,51.5164,-0.14601,"London, W1G 0PL, United Kingdom",,,,W1G 0PL,,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
