original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"4th Fl.,167-169,Great Portland St.,London,W1W 5PF",955,3,51.52167,-0.14373,"London, W1W 5PF, United Kingdom",,,,W1W 5PF,,,,London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,18 Mansell St.,London E1 8AA",956,3,51.5137523,-0.0736688,"Thaï Express, 18b Mansell Street, London, E1 8AA, United Kingdom",Thaï Express,18b,Mansell Street,E1 8AA,London Borough of Tower Hamlets,,Whitechapel,London,Greater London,England,ENG,United Kingdom,gb,0.855,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,20 King St.,London EC2",957,3,51.51494725,-0.09194611116519982,"Killik & Co, 20 King Street, City of London, EC2V 8EG, United Kingdom",Killik & Co,20,King Street,EC2V 8EG,City of London,,Cheap,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,27 Throgmorton St.,London,EC2N 2AQ",958,3,51.515032399999996,-0.08596956644210293,"Abokado, 27 Throgmorton Street, City of London, EC2N 2AQ, United Kingdom",Abokado,27,Throgmorton Street,EC2N 2AQ,,,Cornhill,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,275/281 King St.,Hammersmith,London",959,3,51.4933233,-0.2401396,"281 King Street, London, W6 9NA, United Kingdom",,281,King Street,W6 9NA,Hammersmith and Fulham,,Hammersmith Broadway,London,London,England,ENG,United Kingdom,gb,0.63,1,1,,,
United Kingdom,"4th Fl.,3 St.Helen's Place,London EC3A 6AB",960,3,51.5152324,-0.0813625,"City of London, EC3A 6AB, United Kingdom",,,,EC3A 6AB,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,3 St.Helen's Place,London,EC3A 6AB",961,3,51.5152324,-0.0813625,"City of London, EC3A 6AB, United Kingdom",,,,EC3A 6AB,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,3,St.Helen's Place,London,EC3A 6EB",962,3,51.521878,-0.079194,"Principal Place, London, EC3A 6EB, United Kingdom",,,Principal Place,EC3A 6EB,Hackney,,Shoreditch,London,London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,31 Davies St.,London W1Y 1FN",963,3,51.5118818,-0.1479437,"31 Davies Street, London, United Kingdom",,31,Davies Street,,Westminster,,Mayfair,London,London,England,ENG,United Kingdom,gb,0.9,1,1,,,
United Kingdom,"4th Fl.,31 Davies St.,London WIY IFN",964,3,51.5100499,-0.1473851,"31 Davies Street, London, W1K 3DB, United Kingdom",,31,Davies Street,W1K 3DB,,,Mayfair,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,4 Moorgate,London",965,3,51.5182516,-0.0890625,"Moorgate, Barbican Highwalks, City of London, EC2Y 9DB, United Kingdom",Moorgate,,Barbican Highwalks,EC2Y 9DB,,,Barbican,City of London,Greater London,England,ENG,United Kingdom,gb,0.81,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,47/48 New Bond St.,London W1S 1DJ",966,3,51.51245,-0.14434,"London, W1S 1DJ, United Kingdom",,,,W1S 1DJ,,,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"4th Fl.,47/48 New Bond St.,London,W1S 1DJ",967,3,51.51245,-0.14434,"London, W1S 1DJ, United Kingdom",,,,W1S 1DJ,,,,City of Westminster,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
