original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"81 Market St.,Ashby De La Zouch,Leicestershire,LE6 5AH",1431,4,52.7478343,-1.469413,"Market Street Dental Practice, 81 Market Street, North West Leicestershire, LE65 1AH, United Kingdom",Market Street Dental Practice,81,Market Street,,LE65 1AH,Ashby-De-La-Zouch,North West Leicestershire,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.45,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"81 Market St.Ashby-De-La-Zouch,Leicestershire LE6 5AH",1432,4,52.7478343,-1.469413,"Market Street Dental Practice, 81 Market Street, North West Leicestershire, LE65 1AH, United Kingdom",Market Street Dental Practice,81,Market Street,,LE65 1AH,,North West Leicestershire,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.405,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"81 Market St.Ashby-De-La-Zouch,Leicestershire,LE6 5AH",1433,4,52.7478343,-1.469413,"Market Street Dental Practice, 81 Market Street, North West Leicestershire, LE65 1AH, United Kingdom",Market Street Dental Practice,81,Market Street,,LE65 1AH,,North West Leicestershire,Leicestershire,LEC,England,ENG,United Kingdom,gb,0.405,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"82/86 Fenchurch St.,London EC3M 4BY",1434,4,51.5130593,-0.077904,"Fenchurch Street, City of London, EC3M 4BY, United Kingdom",Fenchurch Street,,Fenchurch Street,Aldgate,EC3M 4BY,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"83 Euston Rd.,London,NW1 2RA",1435,4,51.5286655,-0.1267001,"Euston Flyer, 83-87 Euston Road, London, NW1 2RA, United Kingdom",Euston Flyer,83-87,Euston Road,St Pancras,NW1 2RA,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.81,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"83 Jermyn St.,London SW1Y 6JD",1436,4,51.50798,-0.13744,"London, SW1Y 6JD, United Kingdom",,,,,SW1Y 6JD,,London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"85 Tottenham Court Rd.,London,W1T 4TQ",1437,4,51.5214361,-0.135709,"Blis Media Ltd, 85 Tottenham Court Road, London, W1T 4TQ, United Kingdom",Blis Media Ltd,85,Tottenham Court Road,Fitzrovia,W1T 4TQ,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"85d Goldhurst Terrace,London NW6 3HA",1438,4,51.5460311,-0.1792747,"Goldhurst Terrace, London, NW6 3HX, United Kingdom",Goldhurst Terrace,,Goldhurst Terrace,South Hampstead,NW6 3HX,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"86 Jermyn St.,London SWIY 6 JD",1439,4,51.509187749999995,-0.13491987626964644,"Jermyn Street Theatre, 16b Jermyn Street, London, SW1Y 6ST, United Kingdom",Jermyn Street Theatre,16b,Jermyn Street,Mayfair,SW1Y 6ST,St. James's,London,Greater London,,England,ENG,United Kingdom,gb,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"88 Wood St.,London,EC2V 7DA",1440,4,51.5171393,-0.094835,"Pret A Manger, 88 Wood Street, City of London, EC2V 7AJ, United Kingdom",Pret A Manger,88,Wood Street,Cheap,EC2V 7AJ,City of London,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"881 Plymouth Rd.,Slough SL1 4PL",1441,4,51.5253011,-0.6410769,"Plymouth Road, Slough, SL1 4NH, United Kingdom",Plymouth Road,,Plymouth Road,Cippenham,SL1 4NH,,Slough,,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
