original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"Commonwealth House,2 Chalkhill Rd.,Hammersmith London W6 8DW",1908,5,51.563369,-0.2732665,"Chalkhill Road, London, HA9 9UG, United Kingdom",,Chalkhill Road,Chalkhill Road,HA9 9UG,London Borough of Brent,Preston,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Commonwealth House,Hammersmith Int'l Center,2 Chalkhill Rd.,Hammersmith,London W6 8DW",1909,5,51.563369,-0.2732665,"Chalkhill Road, London, HA9 9UG, United Kingdom",,Chalkhill Road,Chalkhill Road,HA9 9UG,London Borough of Brent,Preston,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Commonwealth House(5th Fl.)Hammer Smith Int'l Centre 2 Chalkhill Rd.,Hammer Smith,London W6 8DW",1910,5,51.4954818,-0.2279596,"2 Kilmarsh Road, London, W6 0PL, United Kingdom",2,,Kilmarsh Road,W6 0PL,London Borough of Hammersmith and Fulham,Brook Green,,London,Greater London,England,ENG,United Kingdom,gb,0.22049999999999997,1,0.35,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Computar House 6 Garrick Ind.,Center,Garrick Rd.,London NW9 6AQ",1911,5,51.5807872,-0.2417247,"Garrick Road, London, NW9 6AA, United Kingdom",,Garrick Road,Garrick Road,NW9 6AA,London Borough of Barnet,West Hendon,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Computar House 6 Garrick Ind.,Centre,Garrick Rd.,London NW9 6AQ",1912,5,51.5807872,-0.2417247,"Garrick Road, London, NW9 6AA, United Kingdom",,Garrick Road,Garrick Road,NW9 6AA,London Borough of Barnet,West Hendon,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Computar House 6 Garrick Ind.Center,Garrick Rd.,London NW9 6AQ",1913,5,51.5807872,-0.2417247,"Garrick Road, London, NW9 6AA, United Kingdom",,Garrick Road,Garrick Road,NW9 6AA,London Borough of Barnet,West Hendon,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Computer House 6 Garrick Ind.Center,Garrick Rd.,London NW9 6AQ",1914,5,51.5807872,-0.2417247,"Garrick Road, London, NW9 6AA, United Kingdom",,Garrick Road,Garrick Road,NW9 6AA,London Borough of Barnet,West Hendon,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Condor House 14 St.Paul's Churchyard,London,EC4M 8BD",1915,5,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"Condor House 1st Fl.,14 ST.Paul's Churchyard,London EC4M 8BD",1916,5,51.506704,-0.141776,"Wimbourne House, London, EC4M 8BD, United Kingdom",,,Wimbourne House,EC4M 8BD,Westminster,St. James's,,London,London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Condor House 6th Fl.,14 ST.Pauls Churchyard,London EC4M 8BD",1917,5,51.514058,-0.099547,"St. Paul's Churchyard, London, EC4M 8BD, United Kingdom",,,St. Paul's Churchyard,EC4M 8BD,City of London,Blackfriars,,London,London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Condor House,14 St.Paul's Churchyard,London EC4M 8BD",1918,5,51.506704,-0.141776,"Wimbourne House, London, EC4M 8BD, United Kingdom",,,Wimbourne House,EC4M 8BD,Westminster,St. James's,,London,London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Condor House,4 Dean's Court,London,EC4V 5AA",1919,5,51.5133919,-0.1002663,"4 Dean's Court, City of London, EC4V 5AA, United Kingdom",4,,Dean's Court,EC4V 5AA,,Blackfriars,,City of London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Consort House,1 Princes Rd.,Weybridge,Surrey KT13 9TU",1920,5,51.36675055,-0.4447271714677347,"Consort House, 1 Prince's Road, Elmbridge, KT13 9BH, United Kingdom",1,Consort House,Prince's Road,KT13 9BH,,,SRY,Elmbridge,Surrey,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Containerbase,College Rd.,Perry Bar,Birmingham B44 8DR",1921,5,52.54075,-1.86976,"College Road, Birmingham, B44 8DR, United Kingdom",,,College Road,B44 8DR,,Upper Witton,BIR,Birmingham,Birmingham,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Containerbase,College Rd.,Perry Bar,Birmingham,B44 8DR",1922,5,52.54075,-1.86976,"College Road, Birmingham, B44 8DR, United Kingdom",,,College Road,B44 8DR,,Upper Witton,BIR,Birmingham,Birmingham,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cookham Rd.,Bracknell Berkshire RG12 1RB",1923,5,51.4154956,-0.7744238,"Cookham Road, Binfield, RG12 1RB, United Kingdom",,Cookham Road,Cookham Road,RG12 1RB,,Temple Park,BRC,Binfield,Bracknell Forest,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Coombelands House,Coombelands Lane,Addlestone,Weybridge,Surrey",1924,5,51.3727175,-0.4549297,"Weybridge, Elmbridge, ENG, United Kingdom",,Weybridge,,,,,SRY,Elmbridge,Surrey,England,ENG,United Kingdom,gb,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Coriander Ave.,East India Dock London E14",1925,5,51.5111292,-0.0138208,"East India Dock Road, London, E14 0EA, United Kingdom",,East India Dock Road,East India Dock Road,E14 0EA,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Coriander Ave.,London E14 2AA",1926,5,51.5117576,-0.0017405,"Coriander Avenue, London, E14 2AA, United Kingdom",,Coriander Avenue,Coriander Avenue,E14 2AA,London Borough of Tower Hamlets,Blackwall,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Coriander Ave.,London,E14 2AA",1927,5,51.5117576,-0.0017405,"Coriander Avenue, London, E14 2AA, United Kingdom",,Coriander Avenue,Coriander Avenue,E14 2AA,London Borough of Tower Hamlets,Blackwall,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cotteswold Rd.,Tew Kesbury,Gloucestershire,GL20 5DJ",1928,5,51.9971882,-2.1515463,"Cotteswold Road, Tewkesbury, GL20 5DY, United Kingdom",,Cotteswold Road,Cotteswold Road,GL20 5DY,,Mitton,GLS,Tewkesbury,Gloucestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cotteswold Rd.,Tewkesbury,Gloucestershire GL20 5DJ",1929,5,51.9971882,-2.1515463,"Cotteswold Road, Tewkesbury, GL20 5DY, United Kingdom",,Cotteswold Road,Cotteswold Road,GL20 5DY,,Mitton,GLS,Tewkesbury,Gloucestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cotteswold Rd.,Tewkesbury,Gloucestershire,GL20 5DJ",1930,5,51.9971882,-2.1515463,"Cotteswold Road, Tewkesbury, GL20 5DY, United Kingdom",,Cotteswold Road,Cotteswold Road,GL20 5DY,,Mitton,GLS,Tewkesbury,Gloucestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cotteswold Road.,Tewkesbury,Gloucestershire GL20 5DJ",1931,5,51.9971882,-2.1515463,"Cotteswold Road, Tewkesbury, GL20 5DY, United Kingdom",,Cotteswold Road,Cotteswold Road,GL20 5DY,,Mitton,GLS,Tewkesbury,Gloucestershire,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cow Lane,Watford,Hertfordshire WD2 6PL",1932,5,51.6821327,-0.39196,"Cow Lane, Watford, WD25 9BE, United Kingdom",,Cow Lane,Cow Lane,WD25 9BE,,,HRT,Watford,Hertfordshire,England,ENG,United Kingdom,gb,0.25,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cow Lane,Watford,Hertfordshire,WD2 6PL",1933,5,51.6821327,-0.39196,"Cow Lane, Watford, WD25 9BE, United Kingdom",,Cow Lane,Cow Lane,WD25 9BE,,,HRT,Watford,Hertfordshire,England,ENG,United Kingdom,gb,0.25,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"CP House,97-107 2nd Fl.Uxbridge Rd.,Ealing,London,W5 5TL",1934,5,51.52669,-0.338053,"Ealing, London, W5 5TL, United Kingdom",,Ealing,,W5 5TL,Ealing,,,London,London,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Cranfield Technology Park,Moulsoe Rd.,Cranfield,Bedfordshire,MK43 0DB",1935,5,52.0637644,-0.6416434,"Moulsoe Road, Cranfield, MK43 0DB, United Kingdom",,Moulsoe Road,Moulsoe Road,MK43 0DB,,,CBF,Cranfield,Central Bedfordshire,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Craven House 40 Uxbridge Rd.,Ealing,London W5 2BS",1936,5,51.5126936,-0.3122202,"Alfamedio Ltd, 40 Uxbridge Road, London, W5 2BS, United Kingdom",40,Alfamedio Ltd,Uxbridge Road,W5 2BS,London Borough of Ealing,,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Craven House,40 Uxbridge Rd.,London,W5 2BS",1937,5,51.5126936,-0.3122202,"Alfamedio Ltd, 40 Uxbridge Road, London, W5 2BS, United Kingdom",40,Alfamedio Ltd,Uxbridge Road,W5 2BS,London Borough of Ealing,,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cray Ave.,St.,Mary Cray,Orpington,Kent BR5 3PP",1938,5,51.3945159,0.1118481,"Cray Avenue, London, BR5 3RJ, United Kingdom",,Cray Avenue,Cray Avenue,BR5 3RJ,London Borough of Bromley,St Mary Cray,,London,Greater London,England,ENG,United Kingdom,gb,0.63,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Croesfoel Industrial Park,Rhostyllen,Wrexham,Clwyd,LL14 4BJ",1939,5,53.02939,-3.02285,"Esclusham Community (Rhostyllen), LL14 4BJ, United Kingdom",,,,LL14 4BJ,Esclusham Community,,DEN,Rhostyllen,Denbighshire,Wales,WLS,United Kingdom,gb,0.018622589531680445,0.08333333333333333,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
United Kingdom,"Cromwell Rd.,Bredbury Industrial Estate,Bredbury,Stockport,Cheshire SK6 2SH",1940,5,53.4324538,-2.1230522,"Cromwell Road, Stockport, SK6 2RH, United Kingdom",,Cromwell Road,Cromwell Road,SK6 2RH,Castle Hill,Brinnington,,Stockport,Greater Manchester,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crosby Court 38 Bishopsgate,London EC2N 4AJ",1941,5,51.515174,-0.08244246666666666,"City of London, EC2N 4AJ, United Kingdom",,,,EC2N 4AJ,,,,City of London,Greater London,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crown Farm Way,Forest Town,Mansfield,Nottinghamshire NG19 0BA",1942,5,53.1491459,-1.1476775,"Crown Farm Way, Mansfield Woodhouse, NG19 0FY, United Kingdom",,Crown Farm Way,Crown Farm Way,NG19 0FY,,Forest Town,NTT,Mansfield Woodhouse,Nottinghamshire,England,ENG,United Kingdom,gb,0.63,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crown Farm Way,Forest Town,Mansfield,Nottinghamshire,NG19 0BA",1943,5,53.1491459,-1.1476775,"Crown Farm Way, Mansfield Woodhouse, NG19 0FY, United Kingdom",,Crown Farm Way,Crown Farm Way,NG19 0FY,,Forest Town,NTT,Mansfield Woodhouse,Nottinghamshire,England,ENG,United Kingdom,gb,0.63,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crown Farm Way,Forest Town,Mansfield,Nottinghamshire,NG19 0FT",1944,5,53.1491459,-1.1476775,"Crown Farm Way, Mansfield Woodhouse, NG19 0FY, United Kingdom",,Crown Farm Way,Crown Farm Way,NG19 0FY,,Forest Town,NTT,Mansfield Woodhouse,Nottinghamshire,England,ENG,United Kingdom,gb,0.63,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crownhill Business Center 22,Vincent Ave.Crownhill,Milton Keynes MK8 0AB",1945,5,52.029379,-0.7968157,"Vincent Avenue, Milton Keynes, MK8 0AB, United Kingdom",,Vincent Avenue,Vincent Avenue,MK8 0AB,,Shenley Church End,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crownhill Business Center 22,Vincent Ave.Crownhill,Milton Keynes,MK8 0AB",1946,5,52.029379,-0.7968157,"Vincent Avenue, Milton Keynes, MK8 0AB, United Kingdom",,Vincent Avenue,Vincent Avenue,MK8 0AB,,Shenley Church End,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Crownhill Business Centre 22,Vincent Ave.Crownhill,Milton Keynes,MK8 0AB",1947,5,52.029379,-0.7968157,"Vincent Avenue, Milton Keynes, MK8 0AB, United Kingdom",,Vincent Avenue,Vincent Avenue,MK8 0AB,,Shenley Church End,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.44099999999999995,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Croydon,Surrey",1948,5,51.3713049,-0.101957,"Croydon, CR0 1SZ, United Kingdom",,Croydon,,CR0 1SZ,,,,Croydon,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cumberland House,15-17 Cumberland Place,Southampton,Hampshire SO15 2BG",1949,5,50.9101004,-1.406518,"Cumberland Place, Southampton, SO15 2BG, United Kingdom",,Cumberland Place,Cumberland Place,SO15 2BG,,The Polygon,,Southampton,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cutlers Garden,5 Devonshire Sq.,London EC2M 4YD",1950,5,51.5166453,-0.079355,"Devonshire Square, City of London, EC2M 4BB, United Kingdom",,Devonshire Square,Devonshire Square,EC2M 4BB,,Bishopsgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cutlers Garden,5 Devonshire Square,London EC2M 4YD",1951,5,51.5166453,-0.079355,"Devonshire Square, City of London, EC2M 4BB, United Kingdom",,Devonshire Square,Devonshire Square,EC2M 4BB,,Bishopsgate,,City of London,Greater London,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Cygnus House Sunrise Parkway,Milton Keynes MK14 6NP",1952,5,52.0569072,-0.7595753,"Sunrise Parkway, Milton Keynes, MK14 6LS, United Kingdom",,Sunrise Parkway,Sunrise Parkway,MK14 6LS,,Linford Wood,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Daifuku House Waterside Dr.,Langley Business Park,Langley,Slough,SL3 6EZ",1953,5,51.508551,-0.546362,"Slough, SL3 6EZ, United Kingdom",,SL3 6EZ,,SL3 6EZ,,,SLG,Slough,Slough,,,United Kingdom,gb,0.6,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Daifuku House,Waterside Dr.,Langley Business Park,Langley,Slough,Berkshire,SL3 6EZ",1954,5,51.508431,-0.5455689,"Slough, SL3 6EZ, United Kingdom",,,,SL3 6EZ,,,,Slough,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
