"DistrictCode","prefcity","JPCode","LocName","fX","fY","iConf","iLvl"
1101,北海道札幌市中央区,83,"北海道/札幌市/中央区","141.34100","43.05536","5","4"
1102,北海道札幌市北区,10,"北海道/札幌市/北区","141.34088","43.09069","5","4"
1103,北海道札幌市東区,19,"北海道/札幌市/東区","141.36366","43.07624","5","4"
1104,北海道札幌市白石区,21,"北海道/札幌市/白石区","141.40514","43.04751","5","4"
1106,北海道札幌市南区,3,"北海道/札幌市/南区","141.35350","42.98999","5","4"
1107,北海道札幌市西区,27,"北海道/札幌市/西区","141.30090","43.07435","5","4"
1108,北海道札幌市厚別区,17,"北海道/札幌市/厚別区","141.47473","43.03621","5","4"
1110,北海道札幌市清田区,2,"北海道/札幌市/清田区","141.44385","42.99943","5","4"
1202,北海道函館市,12,"北海道/函館市","140.72911","41.76871","5","3"
1203,北海道小樽市,8,"北海道/小樽市","140.99460","43.19075","5","3"
1204,北海道旭川市,1,"北海道/旭川市","142.36479","43.77080","5","3"
1205,北海道室蘭市,18,"北海道/室蘭市","140.97379","42.31520","5","3"
1206,北海道釧路市,6,"北海道/釧路市","144.39134","43.02894","5","3"
1207,北海道帯広市,1,"北海道/帯広市","143.19620","42.92402","5","3"
1212,北海道留萌市,4,"北海道/留萌市","141.63701","43.94099","5","3"
1218,北海道赤平市,15,"北海道/赤平市","142.04422","43.55804","5","3"
1219,北海道紋別市,3,"北海道/紋別市","143.35428","44.35633","5","3"
1220,北海道士別市,3,"北海道/士別市","142.40018","44.17863","5","3"
1223,北海道根室市,1,"北海道/根室市","145.58290","43.33004","5","3"
1224,北海道千歳市,27,"北海道/千歳市","141.65114","42.82113","5","3"
1226,北海道砂川市,7,"北海道/砂川市","141.90346","43.49485","5","3"
1235,北海道石狩市,5,"北海道/石狩市","141.31552","43.17136","5","3"
1335,北海道上磯町,1,"北海道/上磯町","140.63008","41.83245","5","0"
1558,北海道上湧別町,5,"北海道/上湧別町","143.55580","44.19950","5","0"
1605,北海道静内町,2,"北海道/静内町","142.37352","42.34476","5","0"
2201,青森県青森市,11,"青森県/青森市","140.74731","40.82236","5","3"
2202,青森県弘前市,9,"青森県/弘前市","140.46400","40.60297","5","3"
2203,青森県八戸市,28,"青森県/八戸市","141.48840","40.51228","5","3"
2204,青森県黒石市,7,"青森県/黒石市","140.59454","40.64261","5","3"
2206,青森県十和田市,1,"青森県/十和田市","141.20592","40.61270","5","3"
3201,岩手県盛岡市,6,"岩手県/盛岡市","141.23064","39.71139","5","3"
3202,岩手県宮古市,7,"岩手県/宮古市","141.95709","39.64146","5","3"
3204,岩手県水沢市,8,"岩手県/水沢市","141.13911","39.14450","5","3"
3205,岩手県花巻市,1,"岩手県/花巻市","141.11685","39.38861","5","3"
3206,岩手県北上市,26,"岩手県/北上市","141.11316","39.28682","5","3"
3209,岩手県一関市,2,"岩手県/一関市","141.12675","38.93475","5","3"
3212,岩手県江刺市,2,"岩手県/江刺市","141.17361","39.19148","5","3"
3213,岩手県二戸市,2,"岩手県/二戸市","141.30481","40.27119","5","3"
3215,岩手県奥州市,2,"岩手県/奥州市","141.13911","39.14450","5","3"
3305,岩手県滝沢村,7,"岩手県/滝沢","141.07707","39.73474","5","3"
3382,岩手県前沢町,1,"岩手県","141.95709","39.64146","3","1"
3402,岩手県平泉町,1,"岩手県/平泉町","141.11398","38.98678","5","0"
4101,宮城県仙台市青葉区,73,"宮城県/仙台市/青葉区","140.87038","38.26909","5","4"
4102,宮城県仙台市宮城野区,25,"宮城県/仙台市/宮城野区","140.90984","38.26619","5","4"
4103,宮城県仙台市若林区,36,"宮城県/仙台市/若林区","140.90074","38.24418","5","4"
4104,宮城県仙台市太白区,17,"宮城県/仙台市/太白区","140.87721","38.22440","5","4"
4105,宮城県仙台市泉区,21,"宮城県/仙台市/泉区","140.88162","38.32636","5","4"
4202,宮城県石巻市,7,"宮城県/石巻市","141.30290","38.43446","5","3"
4204,宮城県古川市,8,"宮城県/古川市","140.95557","38.57713","5","3"
4205,宮城県気仙沼市,2,"宮城県/気仙沼市","141.57004","38.90813","5","3"
4206,宮城県白石市,13,"宮城県/白石市","140.61989","38.00247","5","3"
4207,宮城県名取市,5,"宮城県/名取市","140.89185","38.17150","5","3"
4209,宮城県多賀城市,9,"宮城県/多賀城市","141.00436","38.29380","5","3"
4213,宮城県栗原市,1,"宮城県/栗原市","141.02151","38.73006","5","3"
4215,宮城県大崎市,17,"宮城県/大崎市","140.95557","38.57713","5","3"
4216,宮城県富谷市,6,"宮城県/富谷市","140.89549","38.39992","5","3"
4321,宮城県大河原町,1,"宮城県/大河原町","140.73077","38.04941","5","0"
4322,宮城県村田町,19,"宮城県/村田町","140.72240","38.11859","5","0"
4323,宮城県柴田町,9,"宮城県/柴田町","140.76579","38.05660","5","0"
4341,宮城県丸森町,8,"宮城県/丸森町","140.76537","37.91154","5","0"
4361,宮城県亘理町,8,"宮城県/亘理町","140.85257","38.03777","5","0"
4362,宮城県山元町,16,"宮城県/山元町","140.87753","37.96241","5","0"
4401,宮城県松島町,3,"宮城県/松島町","141.06729","38.38015","5","0"
4406,宮城県利府町,11,"宮城県/利府町","140.97580","38.33036","5","0"
4423,宮城県富谷町,3,"宮城県/富谷","140.89549","38.39992","5","3"
4424,宮城県大衡村,10,"宮城県/大衡村","140.87999","38.46728","5","0"
5201,秋田県秋田市,21,"秋田県/秋田市","140.10251","39.71993","5","3"
5203,秋田県横手市,12,"秋田県/横手市","140.56664","39.31378","5","3"
5205,秋田県,2,"秋田県","140.10251","39.71993","3","1"
5207,秋田県湯沢市,4,"秋田県/湯沢市","140.49469","39.16407","5","3"
5208,秋田県,5,"秋田県","140.10251","39.71993","3","1"
5209,秋田県鹿角市,1,"秋田県/鹿角市","140.78851","40.21579","5","3"
5210,秋田県由利本荘市,1,"秋田県/由利本荘市","140.04881","39.38581","5","3"
5215,秋田県仙北市,7,"秋田県/仙北市","140.73073","39.70004","5","3"
5406,秋田県,5,"秋田県","140.10251","39.71993","3","1"
5444,秋田県大森町,1,"秋田県/大森町","140.41089","39.37484","5","0"
6201,山形県山形市,92,"山形県/山形市","140.33960","38.25544","5","3"
6202,山形県米沢市,46,"山形県/米沢市","140.11668","37.92224","5","3"
6203,山形県鶴岡市,17,"山形県/鶴岡市","139.82672","38.72718","5","3"
6204,山形県酒田市,1,"山形県/酒田市","139.83652","38.91439","5","3"
6205,山形県新庄市,7,"山形県/新庄市","140.30167","38.76496","5","3"
6206,山形県寒河江市,11,"山形県/寒河江市","140.27606","38.38095","5","3"
6208,山形県村山市,1,"山形県/村山市","140.38039","38.48335","5","3"
6209,山形県長井市,19,"山形県/長井市","140.04054","38.10749","5","3"
6210,山形県天童市,23,"山形県/天童市","140.37781","38.36218","5","3"
6211,山形県東根市,9,"山形県/東根市","140.39102","38.43129","5","3"
6323,山形県朝日町,3,"山形県/朝日町","140.14592","38.29929","5","0"
6324,山形県大江町,5,"山形県/大江町","140.20679","38.38071","5","0"
6364,山形県真室川町,13,"山形県/真室川町","140.25237","38.85790","5","0"
6381,山形県高畠町,1,"山形県/高畠町","140.17848","38.00075","5","0"
6403,山形県飯豊町,3,"山形県/飯豊町","139.98761","38.04572","5","0"
6426,山形県三川町,10,"山形県/三川町","139.84961","38.79453","5","0"
7201,福島県福島市,85,"福島県/福島市","140.47327","37.76076","5","3"
7202,福島県会津若松市,16,"福島県/会津若松市","139.92970","37.49484","5","3"
7203,福島県郡山市,63,"福島県/郡山市","140.35965","37.40046","5","3"
7204,福島県いわき市,42,"福島県/いわき市","140.88768","37.05046","5","3"
7207,福島県須賀川市,47,"福島県/須賀川市","140.35428","37.28944","5","3"
7208,福島県喜多方市,4,"福島県/喜多方市","139.87448","37.65113","5","3"
7209,福島県相馬市,7,"福島県/相馬市","140.91963","37.79652","5","3"
7210,福島県二本松市,23,"福島県/二本松市","140.43120","37.58478","5","3"
7213,福島県伊達市,8,"福島県/伊達市","140.56290","37.81910","5","3"
7302,福島県伊達町,3,"福島県/伊達町","140.49139","37.81368","5","0"
7305,福島県保原町,11,"福島県/保原町","140.56992","37.82265","5","0"
7308,福島県川俣町,9,"福島県/川俣町","140.59724","37.66198","5","0"
7324,福島県白沢村,1,"福島県/白沢村","140.43874","37.48418","5","0"
7421,福島県会津坂下町,6,"福島県/会津坂下町","139.82173","37.56146","5","0"
7461,福島県西郷村,10,"福島県/西郷村","140.15530","37.14177","5","0"
7502,福島県玉川村,7,"福島県/玉川村","140.40894","37.21072","5","0"
7543,福島県富岡町,1,"福島県/富岡町","141.00865","37.34550","5","0"
8201,茨城県水戸市,19,"茨城県/水戸市","140.47122","36.36586","5","3"
8202,茨城県日立市,31,"茨城県/日立市","140.65155","36.59901","5","3"
8203,茨城県土浦市,37,"茨城県/土浦市","140.19606","36.07187","5","3"
8204,茨城県古河市,13,"茨城県/古河市","139.75537","36.17823","5","3"
8205,茨城県石岡市,1,"茨城県/石岡市","140.28725","36.19084","5","3"
8206,茨城県,8,"茨城県","140.47122","36.36586","3","1"
8208,茨城県龍ケ崎市,4,"茨城県/龍ケ崎市","140.18227","35.91159","5","3"
8210,茨城県下妻市,7,"茨城県/下妻市","139.96738","36.18452","5","3"
8211,茨城県常総市,7,"茨城県/常総市","139.99393","36.02356","5","3"
8214,茨城県高萩市,3,"茨城県/高萩市","140.71683","36.71872","5","3"
8215,茨城県北茨城市,6,"茨城県/北茨城市","140.75104","36.80189","5","3"
8216,茨城県笠間市,5,"茨城県/笠間市","140.30423","36.34513","5","3"
8220,茨城県つくば市,22,"茨城県/つくば市","140.07648","36.08356","5","3"
8221,茨城県ひたちなか市,17,"茨城県/ひたちなか市","140.53468","36.39661","5","3"
8222,茨城県鹿嶋市,3,"茨城県/鹿嶋市","140.64485","35.96572","5","3"
8224,茨城県守谷市,5,"茨城県/守谷市","139.97546","35.95133","5","3"
8225,茨城県常陸大宮市,3,"茨城県/常陸大宮市","140.41101","36.54259","5","3"
8227,茨城県筑西市,20,"茨城県/筑西市","139.98306","36.30711","5","3"
8233,茨城県行方市,7,"茨城県/行方市","140.48911","35.99017","5","3"
8235,茨城県つくばみらい市,8,"茨城県/つくばみらい市","140.03706","35.96291","5","3"
8236,茨城県小美玉市,1,"茨城県/小美玉市","140.35258","36.23928","5","3"
8321,茨城県友部町,1,"茨城県/友部町","140.30772","36.35030","5","0"
8322,茨城県岩間町,1,"茨城県/岩間町","140.33766","36.28166","5","0"
8324,茨城県岩瀬町,2,"茨城県/岩瀬町","140.13765","36.36703","5","0"
8344,茨城県,4,"茨城県","140.47122","36.36586","3","1"
8443,茨城県阿見町,14,"茨城県/阿見町","140.21477","36.03087","5","0"
8462,茨城県玉里村,7,"茨城県/玉里村","140.34290","36.15117","5","0"
8482,茨城県伊奈町,4,"茨城県/伊奈町","140.07906","35.95224","5","0"
8483,茨城県谷和原村,1,"茨城県/谷和原村","140.04277","36.01277","5","0"
8502,茨城県,3,"茨城県","140.47122","36.36586","3","1"
8521,茨城県八千代町,4,"茨城県/八千代町","139.89114","36.18163","5","0"
8541,茨城県総和町,1,"茨城県/総和町","139.74120","36.16532","5","0"
9201,栃木県宇都宮市,87,"栃木県/宇都宮市","139.88281","36.55511","5","3"
9202,栃木県足利市,57,"栃木県/足利市","139.44969","36.34015","5","3"
9203,栃木県栃木市,38,"栃木県/栃木市","139.73412","36.38242","5","3"
9204,栃木県佐野市,10,"栃木県/佐野市","139.59314","36.30860","5","3"
9205,栃木県鹿沼市,33,"栃木県/鹿沼市","139.74510","36.56712","5","3"
9206,栃木県日光市,25,"栃木県/日光市","139.69820","36.71986","5","3"
9207,栃木県今市市,4,"栃木県/今市市","139.73192","36.68933","5","3"
9208,栃木県小山市,32,"栃木県/小山市","139.80013","36.31448","5","3"
9209,栃木県真岡市,37,"栃木県/真岡市","140.01343","36.44043","5","3"
9210,栃木県大田原市,12,"栃木県/大田原市","140.01546","36.87107","5","3"
9211,栃木県矢板市,6,"栃木県/矢板市","139.92422","36.80673","5","3"
9212,栃木県,6,"栃木県","139.88281","36.55511","3","1"
9213,栃木県那須塩原市,4,"栃木県/那須塩原市","140.04605","36.96169","5","3"
9214,栃木県さくら市,12,"栃木県/さくら市","139.96648","36.68530","5","3"
9215,栃木県那須烏山市,1,"栃木県/那須烏山市","140.15138","36.65689","5","3"
9216,栃木県下野市,28,"栃木県/下野市","139.84195","36.38717","5","3"
9301,栃木県上三川町,1,"栃木県/上三川町","139.91022","36.43927","5","0"
9322,栃木県粟野町,7,"栃木県/粟野町","139.61241","36.47970","5","0"
9341,栃木県二宮町,1,"栃木県/二宮町","140.04024","36.40322","5","0"
9345,栃木県芳賀町,19,"栃木県/芳賀町","140.05820","36.54821","5","0"
9361,栃木県壬生町,18,"栃木県/壬生町","139.79536","36.41549","5","0"
9362,栃木県石橋町,1,"栃木県/石橋町","139.85588","36.45530","5","0"
9365,栃木県大平町,9,"栃木県/大平町","139.72603","36.31957","5","0"
9366,栃木県藤岡町,5,"栃木県/藤岡町","139.66623","36.20874","5","0"
9385,栃木県,2,"栃木県","139.88281","36.55511","3","1"
9386,栃木県高根沢町,7,"栃木県/高根沢町","139.98668","36.63098","5","0"
9402,栃木県烏山町,2,"栃木県/烏山町","140.20811","36.64654","5","0"
9409,栃木県,2,"栃木県","139.88281","36.55511","3","1"
9410,栃木県,1,"栃木県","139.88281","36.55511","3","1"
9421,栃木県,1,"栃木県","139.88281","36.55511","3","1"
10201,群馬県前橋市,67,"群馬県/前橋市","139.06349","36.38941","5","3"
10202,群馬県高崎市,92,"群馬県/高崎市","139.00336","36.32195","5","3"
10203,群馬県桐生市,101,"群馬県/桐生市","139.33064","36.40521","5","3"
10204,群馬県伊勢崎市,108,"群馬県/伊勢崎市","139.19696","36.31134","5","3"
10205,群馬県太田市,114,"群馬県/太田市","139.37537","36.29113","5","3"
10206,群馬県沼田市,1,"群馬県/沼田市","139.04407","36.64608","5","3"
10207,群馬県館林市,7,"群馬県/館林市","139.54205","36.24484","5","3"
10208,群馬県渋川市,21,"群馬県/渋川市","139.00040","36.48948","5","3"
10209,群馬県藤岡市,11,"群馬県/藤岡市","139.07457","36.25851","5","3"
10210,群馬県富岡市,15,"群馬県/富岡市","138.88995","36.25985","5","3"
10211,群馬県安中市,11,"群馬県/安中市","138.88724","36.32630","5","3"
10341,群馬県子持村,5,"群馬県/子持村","138.98322","36.55391","5","0"
10384,群馬県甘楽町,3,"群馬県/甘楽町","138.92175","36.24301","5","0"
10444,群馬県川場村,2,"群馬県/川場村","139.10651","36.69468","5","0"
10461,群馬県,4,"群馬県","139.06349","36.38941","3","1"
10463,群馬県,2,"群馬県","139.06349","36.38941","3","1"
10464,群馬県玉村町,9,"群馬県/玉村町","139.11491","36.30444","5","0"
10521,群馬県板倉町,3,"群馬県/板倉町","139.61028","36.22295","5","0"
10522,群馬県明和町,4,"群馬県/明和町","139.53423","36.21128","5","0"
10523,群馬県千代田町,2,"群馬県/千代田町","139.44244","36.21775","5","0"
10524,群馬県大泉町,37,"群馬県/大泉町","139.40485","36.24786","5","0"
10525,群馬県邑楽町,2,"群馬県/邑楽町","139.46230","36.25239","5","0"
11102,埼玉県さいたま市北区,45,"埼玉県/さいたま市/北区","139.62029","35.93139","5","4"
11103,埼玉県さいたま市大宮区,77,"埼玉県/さいたま市/大宮区","139.62872","35.90648","5","4"
11104,埼玉県さいたま市見沼区,39,"埼玉県/さいたま市/見沼区","139.65443","35.93521","5","4"
11105,埼玉県さいたま市中央区,67,"埼玉県/さいたま市/中央区","139.62617","35.88396","5","4"
11106,埼玉県さいたま市桜区,31,"埼玉県/さいたま市/桜区","139.60977","35.85588","5","4"
11107,埼玉県さいたま市浦和区,3,"埼玉県/さいたま市/浦和区","139.64540","35.86197","5","4"
11108,埼玉県さいたま市南区,28,"埼玉県/さいたま市/南区","139.64651","35.84484","5","4"
11110,埼玉県さいたま市岩槻区,23,"埼玉県/さいたま市/岩槻区","139.69418","35.94988","5","4"
11201,埼玉県川越市,145,"埼玉県/川越市","139.48584","35.92511","5","3"
11202,埼玉県熊谷市,56,"埼玉県/熊谷市","139.38866","36.14736","5","3"
11203,埼玉県川口市,201,"埼玉県/川口市","139.72417","35.80774","5","3"
11204,埼玉県,34,"埼玉県","139.64551","35.86152","3","1"
11205,埼玉県,50,"埼玉県","139.64551","35.86152","3","1"
11206,埼玉県行田市,58,"埼玉県/行田市","139.45564","36.13895","5","3"
11207,埼玉県秩父市,40,"埼玉県/秩父市","139.08548","35.99168","5","3"
11208,埼玉県所沢市,41,"埼玉県/所沢市","139.46861","35.79967","5","3"
11209,埼玉県飯能市,5,"埼玉県/飯能市","139.32779","35.85576","5","3"
11210,埼玉県加須市,56,"埼玉県/加須市","139.60178","36.13144","5","3"
11211,埼玉県本庄市,12,"埼玉県/本庄市","139.19063","36.24333","5","3"
11212,埼玉県東松山市,26,"埼玉県/東松山市","139.39995","36.04216","5","3"
11213,埼玉県岩槻市,19,"埼玉県/岩槻市","139.69418","35.94988","5","3"
11215,埼玉県狭山市,31,"埼玉県/狭山市","139.41223","35.85291","5","3"
11216,埼玉県羽生市,18,"埼玉県/羽生市","139.54860","36.17267","5","3"
11217,埼玉県鴻巣市,44,"埼玉県/鴻巣市","139.52217","36.06576","5","3"
11218,埼玉県深谷市,2,"埼玉県/深谷市","139.28146","36.19747","5","3"
11219,埼玉県上尾市,111,"埼玉県/上尾市","139.59320","35.97741","5","3"
11220,埼玉県,22,"埼玉県","139.64551","35.86152","3","1"
11221,埼玉県草加市,26,"埼玉県/草加市","139.80533","35.82537","5","3"
11222,埼玉県越谷市,23,"埼玉県/越谷市","139.79094","35.89109","5","3"
11223,埼玉県蕨市,45,"埼玉県/蕨市","139.67976","35.82558","5","3"
11224,埼玉県戸田市,23,"埼玉県/戸田市","139.67793","35.81763","5","3"
11225,埼玉県入間市,118,"埼玉県/入間市","139.39105","35.83577","5","3"
11226,埼玉県鳩ヶ谷市,10,"埼玉県/鳩ヶ谷市","139.74117","35.82674","5","3"
11227,埼玉県朝霞市,69,"埼玉県/朝霞市","139.59392","35.79726","5","3"
11228,埼玉県志木市,23,"埼玉県/志木市","139.58023","35.83661","5","3"
11229,埼玉県和光市,49,"埼玉県/和光市","139.60570","35.78111","5","3"
11230,埼玉県新座市,31,"埼玉県/新座市","139.56532","35.79350","5","3"
11231,埼玉県桶川市,22,"埼玉県/桶川市","139.55818","36.00297","5","3"
